epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4131,1.63874,2.12591,0,3.0287,1.69632,0.36665,0.6072,0.35854,0.18565,0.3575,0.55456,0.34842,0.13703,1.65179,3.0126,0,2.42814,1.40777,0.000548807,0.000548807,0.000548807
2,119.447,1.54394,1.54977,0,2.24188,1.47947,0.36334,0.47712,0.36281,0.19609,0.36113,0.50356,0.37026,0.19161,1.76774,2.77724,0,2.45798,1.63639,0.0010826,0.0010826,0.0010826
3,172.974,1.5171,1.30166,0,1.96428,1.44236,0.3779,0.75408,0.43519,0.21069,0.37161,0.75303,0.43868,0.23121,1.53804,1.98529,0,1.81963,1.32663,0.0015944,0.0015944,0.0015944
4,220.229,1.51605,1.16865,0,1.90623,1.45599,0.41853,0.72292,0.51275,0.29072,0.41164,0.70845,0.50256,0.31766,1.44104,1.55619,0,1.6026,1.28194,0.00156798,0.00156798,0.00156798
5,263.886,1.5103,0.96088,0,1.82979,1.43744,0.49553,0.67385,0.52734,0.28329,0.50798,0.65809,0.56387,0.43773,1.42485,1.09166,0,1.58441,1.14026,0.00153497,0.00153497,0.00153497
6,302.111,1.50504,0.71826,0,1.72182,1.4099,0.46083,0.80567,0.5581,0.30728,0.48905,0.81434,0.5815,0.45641,1.4596,0.90421,0,1.54826,1.23835,0.00150197,0.00150197,0.00150197
7,351.566,1.44691,0.57183,0,1.64721,1.37818,0.51987,0.69585,0.56768,0.31421,0.56634,0.75391,0.66284,0.54956,1.55024,0.74907,0,1.54142,1.24436,0.00146896,0.00146896,0.00146896
8,515.848,1.43449,0.53415,0,1.5778,1.37113,0.65006,0.68452,0.69951,0.41065,0.70893,0.70442,0.7427,0.66361,1.35542,0.73624,0,1.44419,1.17415,0.00143595,0.00143595,0.00143595
9,570.633,1.3768,0.44803,0,1.47015,1.321,0.63374,0.76367,0.68623,0.37696,0.65526,0.78052,0.72506,0.65955,1.41953,0.64003,0,1.43281,1.17724,0.00140295,0.00140295,0.00140295
10,622.477,1.4149,0.41559,0,1.47641,1.36983,0.67551,0.80538,0.78127,0.42774,0.71807,0.79989,0.80149,0.74953,1.49847,0.59541,0,1.25322,1.21917,0.00136994,0.00136994,0.00136994
11,691.072,1.35944,0.34958,0,1.40762,1.32063,0.77121,0.80986,0.84171,0.4548,0.79938,0.84681,0.87771,0.84882,1.47688,0.44172,0,1.21563,1.16112,0.00133693,0.00133693,0.00133693
12,760.625,1.35016,0.37075,0,1.33973,1.32375,0.73354,0.7685,0.786,0.43883,0.76677,0.76482,0.82915,0.79744,1.45238,0.42619,0,1.42753,1.15817,0.00130393,0.00130393,0.00130393
13,840.168,1.34311,0.32316,0,1.32094,1.31203,0.78462,0.84314,0.83509,0.50782,0.79594,0.85504,0.85844,0.82986,1.2971,0.35001,0,1.0978,1.09456,0.00127092,0.00127092,0.00127092
14,920.736,1.34226,0.29998,0,1.29018,1.30342,0.83115,0.86181,0.88445,0.52852,0.85518,0.88533,0.91391,0.88631,1.41525,0.38178,0,1.0394,1.14224,0.00123791,0.00123791,0.00123791
15,1006.07,1.28599,0.28412,0,1.20441,1.28113,0.87757,0.84606,0.91419,0.54908,0.8736,0.89043,0.94417,0.9214,1.41955,0.30352,0,1.00827,1.11834,0.00120491,0.00120491,0.00120491
16,1084.08,1.30412,0.26755,0,1.21136,1.27521,0.8465,0.87983,0.90464,0.47731,0.8912,0.9054,0.94624,0.92808,1.61956,0.25331,0,1.06445,1.21431,0.0011719,0.0011719,0.0011719
17,1170.16,1.28315,0.24926,0,1.19492,1.27046,0.86206,0.87884,0.91729,0.52228,0.87805,0.89725,0.93527,0.9159,1.43761,0.317,0,0.99916,1.11933,0.00113889,0.00113889,0.00113889
18,1265.43,1.24765,0.25574,0,1.1691,1.23961,0.89862,0.9022,0.92604,0.57434,0.91036,0.91411,0.9411,0.92489,1.30538,0.30131,0,0.89396,1.05652,0.00110589,0.00110589,0.00110589
19,1367.26,1.2659,0.22488,0,1.15229,1.26231,0.89498,0.91678,0.93504,0.54144,0.92733,0.92126,0.95131,0.93779,1.45719,0.2332,0,0.9605,1.13049,0.00107288,0.00107288,0.00107288
20,1468.37,1.27738,0.23745,0,1.11973,1.26053,0.91632,0.94154,0.94567,0.54908,0.92873,0.95141,0.96035,0.9529,1.45276,0.21915,0,0.84635,1.10097,0.00103987,0.00103987,0.00103987
21,1575.56,1.25907,0.22654,0,1.12196,1.26102,0.89351,0.90415,0.91536,0.59181,0.90215,0.91167,0.93135,0.91332,1.21886,0.24363,0,0.89596,1.07503,0.00100687,0.00100687,0.00100687
22,1678.11,1.24848,0.19444,0,1.12161,1.27513,0.91284,0.88853,0.9391,0.61778,0.91715,0.89449,0.94537,0.93769,1.21607,0.21815,0,0.82943,1.07329,0.000973861,0.000973861,0.000973861
23,1768.19,1.25481,0.19951,0,1.1135,1.24768,0.88474,0.89214,0.91124,0.50609,0.90669,0.91369,0.93527,0.91515,1.55306,0.27462,0,0.9455,1.14824,0.000940855,0.000940855,0.000940855
24,1867.07,1.22262,0.19837,0,1.10451,1.23162,0.9246,0.90846,0.93619,0.56334,0.93221,0.92838,0.95099,0.93922,1.43875,0.19648,0,0.80921,1.07722,0.000907848,0.000907848,0.000907848
25,1946.21,1.19162,0.17976,0,1.05707,1.20783,0.88831,0.89932,0.91888,0.55406,0.9058,0.91424,0.94094,0.93173,1.45169,0.21134,0,0.83154,1.072,0.000874842,0.000874842,0.000874842
26,2012.93,1.22267,0.18361,0,1.04135,1.23011,0.89308,0.92704,0.93712,0.53625,0.91822,0.93604,0.95576,0.94239,1.51109,0.17113,0,0.82978,1.08857,0.000841835,0.000841835,0.000841835
27,2076.93,1.209,0.16825,0,0.98801,1.21092,0.88713,0.92501,0.94264,0.59729,0.90564,0.94427,0.95362,0.94563,1.24586,0.15202,0,0.82799,1.03226,0.000808828,0.000808828,0.000808828
28,2131.9,1.19489,0.15427,0,1.05873,1.22223,0.91817,0.94283,0.94948,0.60045,0.92535,0.95112,0.95943,0.94913,1.30154,0.15652,0,0.7789,1.039,0.000775822,0.000775822,0.000775822
29,2189.08,1.20579,0.154,0,0.99453,1.22439,0.90488,0.92349,0.93696,0.58733,0.91971,0.93961,0.95102,0.94271,1.33998,0.16952,0,0.86877,1.06419,0.000742815,0.000742815,0.000742815
30,2249.47,1.17799,0.15457,0,1.00975,1.21404,0.90655,0.92492,0.95236,0.62156,0.92276,0.9404,0.96227,0.94876,1.23484,0.23132,0,0.80738,1.03427,0.000709809,0.000709809,0.000709809
31,2300.27,1.15927,0.12878,0,0.99324,1.1935,0.91906,0.94295,0.95052,0.62734,0.92285,0.95265,0.95963,0.951,1.24814,0.19378,0,0.76282,1.01689,0.000676802,0.000676802,0.000676802
32,2359.06,1.18279,0.14143,0,1.00903,1.21369,0.92804,0.94678,0.95647,0.58622,0.93821,0.95868,0.96407,0.95217,1.35188,0.17715,0,0.77106,1.05081,0.000643795,0.000643795,0.000643795
33,2412.54,1.14432,0.13102,0,0.95309,1.19938,0.89922,0.93837,0.95649,0.66509,0.90666,0.94565,0.96263,0.95475,1.07877,0.1719,0,0.73786,0.99368,0.000610789,0.000610789,0.000610789
34,2465.47,1.11417,0.12458,0,0.93797,1.16877,0.92762,0.94963,0.95983,0.61466,0.9351,0.95728,0.96504,0.95837,1.26514,0.13992,0,0.73231,1.01059,0.000577782,0.000577782,0.000577782
35,2515.56,1.15434,0.12259,0,0.95929,1.19061,0.94349,0.94736,0.96599,0.60178,0.9473,0.9553,0.96854,0.95676,1.32363,0.17011,0,0.76874,1.03792,0.000544776,0.000544776,0.000544776
36,2605.18,1.15035,0.12019,0,0.96684,1.19442,0.93598,0.95898,0.9636,0.65442,0.93904,0.96294,0.96622,0.96198,1.18259,0.12298,0,0.71284,1.00186,0.000511769,0.000511769,0.000511769
37,2719.59,1.14106,0.10346,0,0.94401,1.18694,0.91538,0.94713,0.95544,0.60288,0.93806,0.95363,0.97136,0.96317,1.35411,0.12985,0,0.75208,1.02962,0.000478762,0.000478762,0.000478762
38,2819.46,1.1066,0.12086,0,0.90042,1.1706,0.91796,0.95104,0.96631,0.58712,0.93357,0.96294,0.97035,0.96619,1.3912,0.11314,0,0.73189,1.03985,0.000445756,0.000445756,0.000445756
39,2934.02,1.10322,0.10872,0,0.918,1.17247,0.93739,0.94707,0.96591,0.59616,0.94572,0.95501,0.97171,0.96856,1.38294,0.11873,0,0.73797,1.04607,0.000412749,0.000412749,0.000412749
40,3035.1,1.10099,0.10937,0,0.89969,1.18166,0.94151,0.96079,0.9694,0.65331,0.94151,0.96079,0.9694,0.965,1.15691,0.12382,0,0.69453,1.00159,0.000379743,0.000379743,0.000379743
41,3138.63,0.94838,0.08431,0,0.64801,1.03168,0.93534,0.95224,0.97071,0.66713,0.93534,0.95224,0.97307,0.96607,1.11884,0.13005,0,0.70634,0.99442,0.000346736,0.000346736,0.000346736
42,3248.47,0.981,0.08144,0,0.66063,1.04429,0.9383,0.95263,0.9695,0.64054,0.9383,0.95263,0.97311,0.97003,1.21369,0.11792,0,0.72725,1.01081,0.000313729,0.000313729,0.000313729
43,3367.21,0.92766,0.0753,0,0.64582,1.02944,0.95021,0.95343,0.97647,0.65325,0.95369,0.95585,0.97667,0.96947,1.15636,0.13592,0,0.72666,1.00617,0.000280723,0.000280723,0.000280723
44,3485.8,0.94379,0.07627,0,0.62982,1.03064,0.92958,0.95187,0.97227,0.66777,0.93354,0.95584,0.97441,0.97136,1.15466,0.12091,0,0.71696,0.99195,0.000247716,0.000247716,0.000247716
45,3622.15,0.91676,0.07899,0,0.62362,1.00524,0.93542,0.9553,0.96812,0.65637,0.94741,0.94427,0.96986,0.96668,1.13752,0.11181,0,0.70886,0.98886,0.00021471,0.00021471,0.00021471
46,3754.23,0.88783,0.07593,0,0.59715,1.00687,0.9556,0.96236,0.97883,0.66574,0.9556,0.96236,0.98097,0.97881,1.10673,0.10746,0,0.65388,0.97766,0.000181703,0.000181703,0.000181703
47,3895.25,0.86829,0.05654,0,0.58624,1.00582,0.95904,0.96633,0.98295,0.66369,0.95904,0.96633,0.9832,0.98176,1.16878,0.09723,0,0.66479,0.9809,0.000148696,0.000148696,0.000148696
48,4019.78,0.88175,0.06098,0,0.58593,1.00049,0.9589,0.97397,0.98139,0.67629,0.9589,0.97397,0.98164,0.98062,1.11365,0.09177,0,0.65481,0.9609,0.00011569,0.00011569,0.00011569
49,4155.28,0.8938,0.06651,0,0.60943,1.0018,0.961,0.97476,0.98146,0.66035,0.961,0.97476,0.98317,0.9817,1.14459,0.09173,0,0.65258,0.97356,8.26832e-05,8.26832e-05,8.26832e-05
50,4312.17,0.89246,0.05743,0,0.59911,0.99998,0.96584,0.97395,0.9838,0.67489,0.96584,0.97395,0.98518,0.98406,1.10446,0.08805,0,0.64351,0.9652,4.96766e-05,4.96766e-05,4.96766e-05
